종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,39425,5,-175,-0.44,39456.0,-2.0239,1850963,73236,53815,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,20100,5,-225,-1.11,,15.8779,3216944,65122,30287,해외 주식,TIGER,False,False,False
102110,1,TIGER 200,39445,5,-185,-0.47,39488.0,-1.9861,251033,9952,22188,국내 시장지수,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,2225,2,25,1.14,2222.0,2.3255,128211523,282593,20759,국내 파생,KODEX,True,False,False
153130,6,KODEX 단기채권,102990,5,-5,0.0,102986.0,0.1263,34183,3520,19435,채권,KODEX,False,False,False
122630,3,KODEX 레버리지,23525,5,-235,-0.99,23589.0,-4.7696,12726430,301683,18867,국내 파생,KODEX,False,True,False
133690,4,TIGER 미국나스닥100,86770,5,-260,-0.3,,9.3712,238589,20700,16556,해외 주식,TIGER,False,False,False
278540,1,KODEX MSCI Korea TR,12680,5,-75,-0.59,12694.0,-1.8847,297245,3804,16028,국내 시장지수,KODEX,False,False,False
102780,2,KODEX 삼성그룹,9825,5,-70,-0.71,9835.0,-4.8101,150767,1489,15848,국내 업종/테마,KODEX,False,False,False
157450,6,TIGER 단기통안채,100420,5,-10,-0.01,100422.0,0.1595,14406,1446,15519,채권,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,107175,5,-55,-0.05,107232.0,-2.4828,3735,400,15068,채권,KODEX,False,False,False
310970,1,TIGER MSCI Korea TR,15925,5,-35,-0.22,15943.0,-2.445,88,1,13918,국내 시장지수,TIGER,False,False,False
292150,2,TIGER TOP10,13615,5,-115,-0.84,13638.0,-2.8653,233807,3205,13663,국내 업종/테마,TIGER,False,False,False
278530,1,KODEX 200TR,12930,5,-75,-0.58,12956.0,-2.0339,30287,393,12723,국내 시장지수,KODEX,False,False,False
214980,6,KODEX 단기채권PLUS,103280,5,-10,-0.01,103285.0,0.1066,6824,704,12588,채권,KODEX,False,False,False
114800,3,KODEX 인버스,4050,2,20,0.5,4056.0,1.3836,22624040,91254,11502,국내 파생,KODEX,True,False,False
148020,1,KBSTAR 200,39530,5,-185,-0.47,39578.0,-2.0085,38779,1535,10970,국내 시장지수,KBSTAR,False,False,False
305540,2,TIGER 2차전지테마,24415,2,350,1.45,24422.0,18.576,2540285,61427,10755,국내 업종/테마,TIGER,False,False,False
305720,2,KODEX 2차전지산업,24005,2,190,0.8,24007.0,11.7026,1738062,41458,10466,국내 업종/테마,KODEX,False,False,False
360750,4,TIGER 미국S&P500,14010,2,20,0.14,,6.6636,426953,5987,10339,해외 주식,TIGER,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,13135,5,-85,-0.64,,11.8443,1279690,16824,9917,해외 주식,TIGER,False,False,False
139260,2,TIGER 200 IT,36840,5,-160,-0.43,36838.0,2.3371,165626,6116,9350,국내 업종/테마,TIGER,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),12630,5,-230,-1.79,,16.8559,819533,10401,7533,해외 주식,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,12275,5,-115,-0.93,,19.7101,1883821,23153,7377,해외 주식,TIGER,False,False,False
152100,1,ARIRANG 200,40075,5,-215,-0.53,40150.0,-2.185,33285,1333,7073,국내 시장지수,ARIRANG,False,False,False
091180,2,KODEX 자동차,20870,5,-260,-1.23,20905.0,-1.949,368520,7715,6939,국내 업종/테마,KODEX,False,False,False
105190,1,KINDEX 200,39660,5,-220,-0.55,39719.0,-1.9425,127597,5065,6861,국내 시장지수,KINDEX,False,False,False
233740,1,KODEX 코스닥150 레버리지,16025,2,125,0.79,16209.0,6.2834,6802009,107998,6811,국내 시장지수,KODEX,False,True,False
315930,2,KODEX Top5PlusTR,18685,5,-150,-0.8,18702.0,2.8392,910,17,6689,국내 업종/테마,KODEX,False,False,False
069660,1,KOSEF 200,39400,5,-225,-0.57,39456.0,-2.0081,171,6,6225,국내 시장지수,KOSEF,False,False,False
293180,1,HANARO 200,39440,5,-225,-0.57,39500.0,-1.9843,10221,403,6212,국내 시장지수,HANARO,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,17620,2,20,0.11,17654.0,2.2958,488376,8594,5550,국내 업종/테마,TIGER,False,False,False
251340,3,KODEX 코스닥150선물인버스,4145,5,-20,-0.48,4150.0,-5.2333,20560443,85684,5505,국내 파생,KODEX,True,False,False
360200,4,KINDEX 미국S&P500,14110,2,25,0.18,,6.4545,123771,1748,5192,해외 주식,KINDEX,False,False,False
294400,1,KOSEF 200TR,47030,5,-255,-0.54,47083.0,-1.9899,1619,76,4985,국내 시장지수,KOSEF,False,False,False
314250,4,KODEX 미국FANG플러스(H),30625,5,-255,-0.83,,12.1278,102574,3142,4885,해외 주식,KODEX,False,False,True
226490,1,KODEX 코스피,30105,5,-55,-0.18,30110.0,-3.0537,3993,120,3793,국내 시장지수,KODEX,False,False,False
196230,6,KBSTAR 단기통안채,104690,3,0,0.0,104688.0,0.1434,2784433,291491,3767,채권,KBSTAR,False,False,False
385540,6,KBSTAR KIS종합채권(A-이상)액티브,98850,5,-105,-0.11,98827.0,-2.3535,5,0,3741,채권,KBSTAR,False,False,False
364960,2,TIGER KRX BBIG K-뉴딜,12080,3,0,0.0,12096.0,-10.4854,487921,5894,3733,국내 업종/테마,TIGER,False,False,False
251350,4,KODEX 선진국MSCI World,21350,5,-25,-0.12,,4.6767,85527,1823,3565,해외 주식,KODEX,False,False,False
091170,2,KODEX 은행,7585,2,50,0.66,7614.0,5.5322,1456600,11086,3531,국내 업종/테마,KODEX,False,False,False
332500,1,KINDEX 200TR,24115,5,-125,-0.52,24153.0,-2.0607,8500,204,3497,국내 시장지수,KINDEX,False,False,False
400970,2,TIGER Fn메타버스,13120,5,-100,-0.76,13142.0,,2982045,38986,3490,국내 업종/테마,TIGER,False,False,False
401470,2,KODEX K-메타버스액티브,13435,2,25,0.19,13467.0,,6225809,82715,3439,국내 업종/테마,KODEX,False,False,False
229200,1,KODEX 코스닥 150,14910,2,65,0.44,15094.0,2.983,2778479,41243,3429,국내 시장지수,KODEX,False,False,False
290130,2,KBSTAR ESG사회책임투자,12920,5,-75,-0.58,12957.0,0.1155,6167,79,3346,국내 업종/테마,KBSTAR,False,False,False
367380,4,KINDEX 미국나스닥100,14890,5,-45,-0.3,,9.3658,163988,2443,3320,해외 주식,KINDEX,False,False,False
367770,2,KBSTAR Fn수소경제테마,11440,5,-60,-0.52,11450.0,-0.5191,75040,860,3318,국내 업종/테마,KBSTAR,False,False,False
