종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률,동일업종 PER,동일업종 등락률,PERlEPS(2021.09),PBRlBPS (2021.09),배당수익률l2020.12,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.08),PBRlBPS (2021.08),배당수익률l2020.11
에스티팜 *,113900.0,14800.0,+14.93%,114000.0,114100.0,1015737.0,111141.0,429312.0,2021-11-25,에스티팜,237690,,,,,,,,,,,,,,,,,"2조  1,231  억원",코스닥 19위,18656000,500원  l  1주,18656000,0,0.00%,"4.00매수  l  125,000","145,200  l  66,000",N/A  l  -570원,161.00배  l  706원,"7.17배  l  15,876원",,86.54배,+0.10%,,,,,,,,
진바이오텍 *,5800.0,480.0,+9.02%,5740.0,5750.0,3821421.0,22445.0,4653164.0,2021-11-25,진바이오텍,086060,,,,,,,,,,,,,,,,,498  억원,코스닥 1341위,8610587,500원  l  1주,8610587,190496,2.21%,N/A  l  N/A,"8,220  l  4,700",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -448원,"1.13배  l  5,113원",0.52%,,,,,
차백신연구소 *,11200.0,800.0,+7.69%,11050.0,11100.0,3525525.0,39313.0,1813404.0,2021-11-25,차백신연구소,261780,,,,,,,,,,,,,,,,,"2,960  억원",코스닥 335위,26429162,500원  l  1주,26429162,62130,0.24%,N/A  l  N/A,"14,900  l  9,740",,N/A  l  N/A,,,86.54배,+0.11%,,,,N/A  l  N/A,N/A  l  N/A,,,
에이비온 *,12700.0,750.0,+6.28%,12450.0,12500.0,213714.0,2737.0,38564.0,2021-11-25,에이비온,203400,,,,,,,,,,,,,,,,,"2,274  억원",코스닥 429위,17977928,500원  l  1주,17977928,99655,0.55%,N/A  l  N/A,"26,450  l  6,240",,N/A  l  N/A,,,86.54배,+0.10%,,,,N/A  l  -756원,"N/A  l  -4,980원",,,
HK이노엔 *,60700.0,3000.0,+5.20%,60700.0,60800.0,614938.0,36799.0,457291.0,2021-11-25,HK이노엔,195940,1758.0,158.0,,8.99,,,,,,317.0,175.19,,,,,,"1조  7,516  억원",코스닥 30위,28904499,500원  l  1주,28904499,507451,1.76%,"4.00매수  l  73,000","80,300  l  49,200","42.35배  l  1,431원",N/A  l  N/A,"1.75배  l  34,625원",,86.54배,+0.10%,,,,,,,,
동아쏘시오홀딩스,116500.0,5500.0,+4.95%,117000.0,117500.0,32489.0,3716.0,22059.0,2021-11-25,동아쏘시오홀딩스,000640,2095.0,132.0,156.0,6.3,7.45,,,,,2458.0,45.16,148496.0,0.75,,,,"7,363  억원",코스피 288위,6347506,"5,000원  l  1주",6347506,762174,12.01%,"4.00매수  l  155,000","157,500  l  99,500",,N/A  l  N/A,,,86.54배,+0.13%,"3.37배  l  34,437원","0.74배  l  157,466원",0.86%,,,,,
일동제약,16050.0,650.0,+4.22%,15850.0,15900.0,125426.0,1972.0,126808.0,2021-11-25,일동제약,249420,,,,,,,,,,,,,,,,,"3,832  억원",코스피 417위,23803285,"1,000원  l  1주",23803285,1061856,4.46%,"4.00매수  l  22,000","21,450  l  12,400",,N/A  l  N/A,,,86.54배,+0.11%,"N/A  l  -1,046원","1.58배  l  10,209원",,,,,,
휴온스글로벌 *,41800.0,1650.0,+4.11%,41700.0,41750.0,116628.0,4927.0,28595.0,2021-11-25,휴온스글로벌,084110,,,,,,,,,,,,,,,,,"5,029  억원",코스닥 172위,12030289,500원  l  1주,12030289,1268678,10.55%,3.00중립  l  N/A,"82,300  l  25,900","12.54배  l  3,333원",N/A  l  N/A,"1.18배  l  35,553원",,86.54배,+0.10%,,,0.91%,,,,,
휴메딕스 *,24800.0,900.0,+3.77%,24750.0,24800.0,40492.0,999.0,14959.0,2021-11-25,휴메딕스,200670,,,,,,,,,,,,,,,,,"2,468  억원",코스닥 399위,9971194,500원  l  1주,9971194,597269,5.99%,N/A  l  N/A,"44,600  l  20,350","15.44배  l  1,603원",N/A  l  N/A,"1.90배  l  12,995원",,86.54배,+0.10%,,,1.62%,,,,,
지트리비앤티 *,15350.0,550.0,+3.72%,15350.0,15400.0,410790.0,6281.0,245000.0,2021-11-25,지트리비앤티,115450,,,,,,,,,,,,,,,,,"4,144  억원",코스닥 221위,27088019,500원  l  1주,27088019,571795,2.11%,N/A  l  N/A,"33,550  l  9,520",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -625원,"5.11배  l  2,992원",,,,,,
