종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
352820,하이브,2021.11.24,378500.0,14000.0,390000.0,394000.0,374000.0,198969.0
352820,하이브,2021.11.23,392500.0,0.0,390500.0,406000.0,382000.0,289318.0
352820,하이브,2021.11.22,392500.0,8000.0,395000.0,397500.0,370000.0,566563.0
352820,하이브,2021.11.19,400500.0,12000.0,413000.0,416000.0,400000.0,329932.0
352820,하이브,2021.11.18,412500.0,1500.0,414000.0,419000.0,395000.0,379310.0
352820,하이브,2021.11.17,414000.0,0.0,418000.0,421500.0,408500.0,298647.0
352820,하이브,2021.11.16,414000.0,7000.0,410000.0,418000.0,404500.0,318155.0
352820,하이브,2021.11.15,407000.0,10500.0,398500.0,413500.0,396500.0,266892.0
352820,하이브,2021.11.12,396500.0,7500.0,393000.0,401500.0,389000.0,311455.0
352820,하이브,2021.11.11,389000.0,4000.0,379000.0,390500.0,378000.0,278757.0
352820,하이브,2021.11.10,385000.0,4000.0,390500.0,396500.0,377000.0,351257.0
352820,하이브,2021.11.09,389000.0,3500.0,390000.0,394500.0,383000.0,323922.0
352820,하이브,2021.11.08,392500.0,9000.0,383500.0,397500.0,380500.0,428618.0
352820,하이브,2021.11.05,383500.0,27000.0,360500.0,388000.0,357000.0,809898.0
352820,하이브,2021.11.04,356500.0,10000.0,354000.0,372500.0,340000.0,941627.0
352820,하이브,2021.11.03,346500.0,1500.0,349000.0,356000.0,341000.0,264872.0
352820,하이브,2021.11.02,348000.0,500.0,352500.0,358500.0,345000.0,319505.0
352820,하이브,2021.11.01,348500.0,13500.0,340000.0,350000.0,338000.0,416317.0
352820,하이브,2021.10.29,335000.0,1500.0,337500.0,342000.0,330500.0,248223.0
352820,하이브,2021.10.28,333500.0,15000.0,346000.0,349000.0,330500.0,454192.0
352820,하이브,2021.10.27,348500.0,6500.0,343000.0,349500.0,337000.0,429359.0
352820,하이브,2021.10.26,342000.0,16000.0,328000.0,347000.0,325500.0,716852.0
352820,하이브,2021.10.25,326000.0,1000.0,324500.0,329500.0,319000.0,248602.0
352820,하이브,2021.10.22,325000.0,5500.0,331000.0,334000.0,316000.0,486408.0
